"year","pred","cum"
2016,0.61940955185937,0.61940955185937
2017,1.12401258524667,1.74342213710604
2018,1.96800348745175,3.71142562455779
2019,3.23783342961506,6.94925905417285
2020,4.81343225878884,11.7626913129617
2021,6.16570979938516,17.9284011123468
2022,6.53889433445453,24.4672954468014
2023,5.67930276969789,30.1465982164993
2024,4.1426117214509,34.2892099379502
2025,2.65650497926918,36.9457149172193
2026,1.56697152023135,38.5126864374507
2027,0.879478004920494,39.3921644423712
2028,0.479962375117693,39.8721268174889
2029,0.257940934340594,40.1300677518295
2030,0.13748105580168,40.2675488076312
